TransactionID,Items
1,"""Platanos, Huevos"""
2,"""Mantequilla, Leche, Cerveza"""
3,"""Chocolate, Leche"""
4,"""Cebolla"""
5,"""Platanos, Papel Higienico, Queso, Yogur, Cebolla, Detergente, Huevos, Papas fritas"""
6,"""Panales, Azucar, Cafe, Cerveza, Manzanas, Papas fritas"""
7,"""Leche, Papel Higienico, Azucar, Refresco"""
8,"""Platanos, Papel Higienico, Refresco, Queso, Azucar, Cafe, Cerveza, Detergente, Papas fritas"""
9,"""Platanos, Papel Higienico, Manzanas, Papas fritas"""
10,"""Mantequilla"""
11,"""Platanos, Azucar, Cafe, Manzanas, Papas fritas"""
12,"""Queso, Huevos"""
13,"""Platanos, Chocolate, Azucar, Salsa de Tomate, Cerveza, Huevos, Papas fritas"""
14,"""Chocolate, Queso, Leche, Cebolla, Detergente"""
15,"""Mantequilla, Huevos"""
16,"""Cerveza, Panales, Yogur, Cebolla"""
17,"""Huevos, Refresco, Queso, Cerveza, Manzanas, Papas fritas"""
18,"""Chocolate, Refresco, Panales, Azucar, Cebolla, Salsa de Tomate, Cafe"""
19,"""Azucar, Cebolla"""
20,"""Chocolate, Papel Higienico, Leche, Panales, Cebolla, Manzanas"""
21,"""Chocolate, Cebolla, Cafe, Mantequilla, Huevos, Papas fritas"""
22,"""Platanos, Chocolate, Yogur, Pasta, Azucar, Pan, Cerveza, Detergente"""
23,"""Mantequilla"""
24,"""Platanos, Refresco, Azucar, Cafe, Huevos, Papas fritas"""
25,"""Chocolate, Papel Higienico, Yogur, Pan, Cerveza, Mantequilla, Detergente, Huevos, Papas fritas"""
26,"""Platanos, Chocolate, Refresco, Queso, Salsa de Tomate, Cerveza, Detergente, Huevos, Papas fritas"""
27,"""Pasta, Manzanas, Papas fritas"""
28,"""Refresco, Queso, Azucar, Cafe, Cerveza, Mantequilla"""
29,"""Queso"""
30,"""Yogur, Detergente"""
31,"""Chocolate, Papel Higienico, Queso, Yogur, Pan"""
32,"""Platanos, Leche, Panales, Cerveza, Manzanas, Papas fritas"""
33,"""Panales"""
34,"""Mantequilla, Detergente, Pan"""
35,"""Mantequilla, Salsa de Tomate, Leche, Manzanas"""
36,"""Salsa de Tomate, Detergente, Mantequilla, Pan"""
37,"""Cerveza, Panales, Papas fritas, Cebolla"""
38,"""Platanos, Chocolate, Detergente, Papel Higienico"""
39,"""Refresco, Chocolate, Papas fritas, Cerveza"""
40,"""Chocolate, Manzanas"""
41,"""Chocolate, Yogur, Cafe, Pan, Manzanas"""
42,"""Platanos, Chocolate, Refresco, Leche, Cebolla, Pan, Mantequilla, Manzanas"""
43,"""Papel Higienico, Yogur, Azucar, Cebolla, Detergente, Papas fritas"""
44,"""Mantequilla, Pan"""
45,"""Papel Higienico, Yogur, Azucar, Pan, Mantequilla, Manzanas, Papas fritas"""
46,"""Chocolate, Papel Higienico, Refresco, Leche, Panales, Cebolla, Manzanas"""
47,"""Chocolate, Queso, Leche, Yogur, Azucar, Cebolla"""
48,"""Manzanas, Huevos"""
49,"""Mantequilla, Pasta, Papas fritas, Pan"""
50,"""Chocolate, Leche, Manzanas, Huevos"""
51,"""Platanos, Panales, Salsa de Tomate, Cafe, Cerveza, Papas fritas"""
52,"""Mantequilla, Platanos, Panales, Refresco"""
53,"""Salsa de Tomate, Platanos, Papel Higienico, Cebolla"""
54,"""Chocolate, Cebolla"""
55,"""Chocolate, Papel Higienico, Huevos, Cafe, Cerveza, Detergente, Manzanas"""
56,"""Platanos, Queso, Yogur, Pasta, Salsa de Tomate, Cafe"""
57,"""Queso, Leche, Azucar, Cebolla, Pan, Cafe, Mantequilla, Manzanas"""
58,"""Platanos, Azucar, Cebolla, Salsa de Tomate, Cafe, Detergente, Huevos, Papas fritas"""
59,"""Detergente, Papel Higienico"""
60,"""Papel Higienico, Leche, Panales, Pasta, Salsa de Tomate"""
61,"""Platanos, Chocolate, Azucar, Salsa de Tomate, Cafe, Manzanas"""
62,"""Papel Higienico, Yogur, Azucar, Cebolla, Cerveza, Detergente, Papas fritas"""
63,"""Platanos, Chocolate, Huevos, Leche, Pasta, Salsa de Tomate, Cerveza, Manzanas, Papas fritas"""
64,"""Salsa de Tomate, Pasta"""
65,"""Leche, Panales, Pasta, Yogur, Azucar, Salsa de Tomate, Pan, Cerveza"""
66,"""Chocolate, Queso, Yogur, Cerveza, Mantequilla, Detergente, Manzanas, Papas fritas"""
67,"""Chocolate, Refresco, Leche, Yogur, Cafe, Pan, Mantequilla, Detergente, Manzanas"""
68,"""Platanos, Refresco, Yogur, Pasta, Salsa de Tomate, Detergente, Manzanas"""
69,"""Salsa de Tomate, Pasta, Huevos"""
70,"""Chocolate, Papel Higienico, Queso, Cebolla, Cafe, Mantequilla, Manzanas"""
